PUBLICATION ID;INCLUDES PVT PATTERNS; INCLUDES BRAIN PATTERNS
19210462;FALSE;FALSE
19219059;TRUE;TRUE
19303720;TRUE;TRUE
19321637;TRUE;FALSE
19422884;TRUE;FALSE
19425088;TRUE;FALSE
19506723;FALSE;TRUE
19515163;TRUE;TRUE
1954561;TRUE;TRUE
19563846;TRUE;FALSE
19604495;TRUE;FALSE
19699757;TRUE;FALSE
19784373;TRUE;TRUE
1979543;TRUE;FALSE
19844991;TRUE;TRUE
19912752;TRUE;TRUE
19912775;TRUE;TRUE
19912807;TRUE;TRUE
19932152;TRUE;TRUE
19932169;TRUE;FALSE
20018215;TRUE;FALSE
20026143;TRUE;FALSE
20045021;TRUE;FALSE
20075298;TRUE;FALSE
20171207;TRUE;FALSE
20298787;FALSE;FALSE
20357113;TRUE;TRUE
20390296;TRUE;FALSE
20394060;TRUE;TRUE
20399252;TRUE;FALSE
20435071;TRUE;TRUE
20504448;TRUE;FALSE
2054848;TRUE;FALSE
2055176;FALSE;FALSE
20645079;TRUE;FALSE
20685979;TRUE;FALSE
20705064;TRUE;FALSE
20719929;TRUE;FALSE
20881244;TRUE;TRUE
20886038;TRUE;FALSE
20921323;TRUE;TRUE
20951152;TRUE;FALSE
20962231;TRUE;TRUE
20971082;TRUE;FALSE
21046664;TRUE;FALSE
21073904;TRUE;TRUE
21073922;TRUE;FALSE
21088699;TRUE;TRUE
21132088;TRUE;TRUE
21139059;TRUE;FALSE
21281609;TRUE;TRUE
21385938;TRUE;TRUE
21402087;TRUE;FALSE
21447232;TRUE;FALSE
21477621;TRUE;TRUE
21569517;TRUE;FALSE
2159829;TRUE;TRUE
2172326;TRUE;FALSE
21729751;TRUE;TRUE
21843541;FALSE;FALSE
21922004;FALSE;FALSE
21945724;FALSE;FALSE
21966555;TRUE;FALSE
21971160;TRUE;TRUE
2198214;TRUE;TRUE
21985936;TRUE;FALSE
22086160;TRUE;TRUE
22150939;TRUE;TRUE
22209397;FALSE;FALSE
22307669;FALSE;FALSE
22433299;TRUE;FALSE
22480692;TRUE;FALSE
22728428;TRUE;TRUE
22813969;TRUE;TRUE
22916276;TRUE;TRUE
22921486;FALSE;FALSE
22941030;TRUE;FALSE
22982687;TRUE;TRUE
23007167;FALSE;FALSE
23030052;TRUE;FALSE
23093008;TRUE;FALSE
23111346;TRUE;TRUE
23162448;TRUE;TRUE
23238438;TRUE;FALSE
23238833;TRUE;TRUE
23359674;TRUE;FALSE
23370319;TRUE;FALSE
2337814;TRUE;FALSE
23402852;FALSE;FALSE
23408973;TRUE;TRUE
23499563;TRUE;FALSE
23509439;TRUE;FALSE
2358025;TRUE;FALSE
23593280;TRUE;FALSE
23616108;TRUE;TRUE
23632082;TRUE;FALSE
2365011;TRUE;FALSE
23661182;TRUE;TRUE
23690833;TRUE;FALSE
23773238;TRUE;FALSE
23774135;TRUE;TRUE
23830850;FALSE;FALSE
23831916;FALSE;FALSE
23850650;FALSE;FALSE
24004531;TRUE;FALSE
24025783;TRUE;FALSE
24139547;TRUE;FALSE
24140988;TRUE;FALSE
24161824;FALSE;TRUE
2440916;TRUE;TRUE
2448349;TRUE;FALSE
24523533;TRUE;FALSE
2456312;TRUE;TRUE
24629399;TRUE;FALSE
24653686;TRUE;FALSE
24672443;TRUE;FALSE
2504439;FALSE;FALSE
2541863;TRUE;TRUE
2564297;FALSE;FALSE
2564779;TRUE;TRUE
2594200;TRUE;TRUE
2676574;FALSE;FALSE
2706479;FALSE;TRUE
2752961;TRUE;TRUE
2753001;FALSE;FALSE
2869491;FALSE;TRUE
2871520;TRUE;TRUE
2878730;TRUE;FALSE
2887592;FALSE;FALSE
2955851;TRUE;TRUE
2975068;TRUE;TRUE
3003479;TRUE;TRUE
3016682;TRUE;TRUE
3024071;TRUE;TRUE
3025823;TRUE;TRUE
3031629;FALSE;FALSE
3077313;TRUE;FALSE
3173640;TRUE;FALSE
318197;FALSE;FALSE
3208109;FALSE;FALSE
3225344;TRUE;FALSE
3248031;TRUE;FALSE
3294923;TRUE;TRUE
3295798;TRUE;TRUE
3303079;TRUE;TRUE
3320108;TRUE;FALSE
3340419;TRUE;FALSE
3380295;TRUE;TRUE
3417901;TRUE;TRUE
3549798;TRUE;FALSE
3555835;TRUE;FALSE
3690325;FALSE;FALSE
3702410;FALSE;FALSE
3763051;TRUE;FALSE
3774213;TRUE;FALSE
3900805;TRUE;TRUE
3902913;FALSE;FALSE
3904923;TRUE;FALSE
3944625;TRUE;FALSE
3968245;TRUE;FALSE
3986513;TRUE;FALSE
3995367;TRUE;FALSE
4034088;TRUE;TRUE
4075141;TRUE;FALSE
4352874;FALSE;FALSE
489786;FALSE;FALSE
5068788;TRUE;FALSE
547711;TRUE;FALSE
553093;FALSE;FALSE
